trip_miles,trip_seconds,fare,company,payment_type,tip_rate
2.19,1726,9.69,Star North Taxi Management Llc,Mobile,23.0
1.6,1260,11.25,Taxi Affiliation Services,Cash,0.0
0.61,480,6.25,Flash Cab,Cash,0.0
1.3,1020,9.5,Top Cab Affiliation,Cash,0.0
1.3,1020,9.75,Taxi Affiliation Services,Credit Card,21.0
1.1,862,8.75,Flash Cab,Cash,0.0
1.25,978,9.5,Sun Taxi,Credit Card,31.6
1.78,1389,12.25,Taxicab Insurance Agency Llc,Cash,0.0
2.0,1560,13.25,Taxi Affiliation Services,Credit Card,20.8
1.0,780,8.0,U Taxicab,Credit Card,25.0
1.0,780,8.5,U Taxicab,Credit Card,23.5
1.0,780,8.0,Taxi Affiliation Services,Credit Card,25.0
2.42,1887,16.25,Flash Cab,Prcard,0.0
1.51,1174,11.25,Medallion Leasin,Cash,0.0
4.79,3721,30.0,Flash Cab,Prcard,0.0
1.73,1340,12.25,Flash Cab,Prcard,0.0
5.07,3917,30.0,City Service,Prcard,0.0
0.7,540,6.5,Choice Taxi Association,Credit Card,10.0
0.7,540,8.0,"Taxicab Insurance Agency, LLC",Cash,0.0
2.13,1635,13.5,Sun Taxi,Credit Card,22.2
5.13,3936,30.25,Flash Cab,Prcard,0.0
1.8,1380,12.25,Taxi Affiliation Services,Credit Card,24.5
2.43,1863,15.25,Sun Taxi,Credit Card,25.8
6.97,5343,45.0,Flash Cab,Prcard,0.2
1.66,1269,11.75,Star North Taxi Management Llc,Cash,0.0
0.67,512,6.5,Sun Taxi,Credit Card,61.5
1.8,1375,12.25,Sun Taxi,Prcard,0.0
1.1,840,9.75,"Taxicab Insurance Agency, LLC",Credit Card,21.0
1.1,840,10.0,"Taxicab Insurance Agency, LLC",Cash,0.0
0.54,412,5.25,City Service,Cash,0.0
1.81,1378,9.82,24 Seven Taxi,Mobile,0.0
0.94,715,7.5,Sun Taxi,Prcard,0.0
0.5,380,4.75,Chicago Taxicab,Cash,0.0
1.9,1440,13.25,Taxi Affiliation Services,Cash,0.0
0.73,553,6.75,Sun Taxi,Cash,0.0
0.67,507,6.5,City Service,Credit Card,25.0
1.52,1150,11.5,Taxicab Insurance Agency Llc,Cash,0.0
1.55,1172,11.5,Medallion Leasin,Cash,0.0
1.48,1119,10.75,Sun Taxi,Cash,0.0
5.0,3780,28.25,Taxi Affiliation Services,Credit Card,30.4
2.15,1625,14.0,Sun Taxi,Credit Card,25.9
3.42,2580,20.5,Flash Cab,Cash,0.0
4.3,3242,26.25,Flash Cab,Prcard,0.0
0.58,436,6.0,Taxicab Insurance Agency Llc,Cash,0.0
1.57,1179,9.0,Medallion Leasin,Mobile,17.2
2.0,1500,12.75,Taxi Affiliation Services,Credit Card,25.8
1.2,900,10.5,Globe Taxi,Credit Card,19.0
0.6,450,5.75,Chicago Taxicab,Cash,0.0
1.6,1200,11.0,Chicago Independents,Credit Card,20.9
0.8,600,7.0,Choice Taxi Association,Cash,0.0
0.8,600,7.25,Taxi Affiliation Services,Cash,0.0
2.84,2120,17.0,24 Seven Taxi,Mobile,10.3
0.5,372,5.75,Flash Cab,Cash,0.0
1.7,1261,11.75,Globe Taxi,Prcard,0.0
1.7,1260,11.25,Taxi Affiliation Services,Cash,0.0
1.0,740,7.5,Chicago Independents,Cash,0.0
5.5,4070,31.25,Flash Cab,Cash,0.0
4.04,2989,23.5,Flash Cab,Prcard,0.0
1.24,917,9.25,Flash Cab,Cash,0.0
0.84,621,7.0,Medallion Leasin,Cash,0.0
1.3,961,8.0,Flash Cab,Mobile,21.3
0.8,591,7.25,Flash Cab,Credit Card,34.3
1.17,864,9.0,Sun Taxi,Mobile,0.0
1.3,960,9.5,Choice Taxi Association,Credit Card,21.1
1.37,1011,9.0,Sun Taxi,Mobile,66.7
1.96,1445,10.44,Chicago Independents,Mobile,23.0
0.53,390,5.5,City Service,Credit Card,26.7
0.7,515,6.25,Chicago Independents,Credit Card,32.0
1.29,949,9.5,Sun Taxi,Cash,0.0
1.77,1302,11.75,City Service,Credit Card,17.0
1.0,735,8.0,Chicago Independents,Mobile,21.3
2.8,2057,37.0,Flash Cab,Cash,0.0
0.52,382,5.75,City Service,Credit Card,29.6
1.65,1212,11.0,Blue Ribbon Taxi Association,Credit Card,15.6
1.08,793,8.25,Sun Taxi,Cash,0.0
1.0,734,7.75,Medallion Leasin,Cash,0.0
0.9,660,7.5,Taxi Affiliation Services,Credit Card,26.7
0.9,660,7.5,U Taxicab,Cash,0.0
0.9,660,11.0,"Taxicab Insurance Agency, LLC",Credit Card,0.0
1.3,953,9.25,Sun Taxi,Credit Card,39.0
0.5,366,5.5,Sun Taxi,Cash,0.0
0.88,644,7.25,City Service,Credit Card,24.2
1.58,1155,10.75,Globe Taxi,Mobile,17.0
0.54,394,5.5,Sun Taxi,Cash,0.0
4.31,3141,24.75,Sun Taxi,Cash,0.0
1.22,889,9.0,Flash Cab,Mobile,22.9
0.6,437,6.0,Globe Taxi,Cash,0.0
2.87,2086,13.5,Medallion Leasin,Cash,0.0
1.13,821,9.0,Blue Ribbon Taxi Association,Mobile,22.9
0.57,414,6.0,Flash Cab,Cash,0.0
1.22,886,9.0,City Service,Cash,0.0
1.68,1219,9.0,Sun Taxi,Mobile,23.0
0.71,515,6.5,Sun Taxi,Credit Card,18.2
1.86,1349,11.75,City Service,Credit Card,25.9
5.3,3842,31.5,Flash Cab,Prcard,0.0
2.51,1817,15.25,Chicago Independents,Mobile,12.3
0.83,600,7.0,City Service,Cash,0.0
0.59,426,9.0,Taxicab Insurance Agency Llc,Mobile,23.0
4.89,3528,29.75,Flash Cab,Prcard,0.0
0.63,454,6.0,Flash Cab,Credit Card,50.0
0.5,360,5.5,Chicago Independents,Credit Card,23.1
1.5,1080,11.5,Globe Taxi,Credit Card,20.9
0.5,360,5.25,Choice Taxi Association,No Charge,0.0
0.5,360,5.5,Taxi Affiliation Services,Cash,0.0
0.5,360,5.5,Taxi Affiliation Services,Cash,0.0
0.5,360,5.5,Top Cab Affiliation,Cash,0.0
0.5,360,5.5,"Taxicab Insurance Agency, LLC",Cash,0.0
5.91,4254,33.75,Flash Cab,Cash,0.0
1.04,745,9.0,City Service,Mobile,28.8
1.51,1080,10.0,City Service,Credit Card,100.0
5.07,3625,30.25,Blue Ribbon Taxi Association,Prcard,0.0
0.73,521,6.5,City Service,Cash,0.0
3.2,2280,38.0,Choice Taxi Association,Credit Card,20.2
0.66,470,6.0,Flash Cab,Prcard,0.0
0.67,477,9.0,Taxicab Insurance Agency Llc,Mobile,23.0
1.07,761,8.0,Sun Taxi,Prcard,0.0
0.84,597,7.0,Flash Cab,Credit Card,0.0
0.53,376,5.5,Flash Cab,Cash,0.0
1.1,780,8.75,"Taxicab Insurance Agency, LLC",Cash,0.0
0.57,404,5.75,Flash Cab,Credit Card,52.2
2.42,1713,14.75,Flash Cab,Credit Card,33.9
1.04,736,7.75,Taxicab Insurance Agency Llc,Cash,0.0
7.43,5257,29.0,Flash Cab,Prcard,0.0
1.08,764,8.0,Chicago Independents,Mobile,21.3
2.48,1751,15.5,Medallion Leasin,Cash,0.0
1.7,1200,11.0,U Taxicab,Credit Card,18.2
3.02,2129,17.75,Taxicab Insurance Agency Llc,Credit Card,20.5
6.22,4384,35.0,Flash Cab,Prcard,0.0
0.74,521,6.5,Flash Cab,Cash,0.0
0.5,352,5.5,Flash Cab,Cash,0.0
6.11,4295,34.5,Flash Cab,Prcard,0.0
0.9,632,7.5,Globe Taxi,Credit Card,45.5
3.01,2113,19.25,Taxicab Insurance Agency Llc,Cash,0.0
0.63,442,9.0,City Service,Mobile,23.0
4.0,2806,25.25,Globe Taxi,Cash,0.0
1.34,939,9.5,Star North Taxi Management Llc,Credit Card,31.6
0.6,420,5.75,Taxi Affiliation Services,Cash,0.0
0.6,420,6.75,"Taxicab Insurance Agency, LLC",Credit Card,59.3
1.2,840,9.0,Taxi Affiliation Services,Credit Card,22.2
1.2,840,9.0,Taxi Affiliation Services,Credit Card,11.1
0.6,420,6.0,Taxi Affiliation Services,Credit Card,41.7
0.6,420,6.0,Taxi Affiliation Services,Cash,0.0
0.6,420,6.0,Taxi Affiliation Services,Unknown,0.0
0.6,420,6.0,Taxi Affiliation Services,Cash,0.0
0.6,420,5.5,Taxi Affiliation Services,Cash,0.0
1.8,1260,11.5,Top Cab Affiliation,Cash,0.0
1.8,1260,12.0,Choice Taxi Association,Cash,0.0
0.64,448,6.25,Flash Cab,Prcard,0.0
1.47,1027,9.75,Sun Taxi,Cash,0.0
4.9,3420,25.75,Taxi Affiliation Services,Unknown,0.0
5.52,3851,31.75,Sun Taxi,Cash,0.0
2.87,2002,17.25,Flash Cab,Prcard,0.0
4.86,3388,27.5,Flash Cab,Prcard,0.0
0.54,376,5.5,Sun Taxi,Cash,0.0
2.55,1774,17.0,Patriot Taxi Dba Peace Taxi Associat,Cash,0.0
1.64,1140,10.5,Star North Taxi Management Llc,Credit Card,28.6
2.08,1444,13.75,City Service,Prcard,0.0
1.79,1239,11.5,Taxicab Insurance Agency Llc,Credit Card,26.1
0.63,435,6.0,Flash Cab,Credit Card,66.7
2.0,1380,12.25,Taxi Affiliation Services,Credit Card,29.7
1.19,821,9.0,Sun Taxi,Mobile,11.6
0.67,462,6.25,Sun Taxi,Credit Card,27.6
1.37,944,9.5,Flash Cab,Credit Card,0.0
1.27,875,9.0,City Service,Cash,0.0
1.86,1281,11.75,Flash Cab,Prcard,0.0
2.46,1694,15.75,Medallion Leasin,Cash,0.0
0.61,420,6.0,24 Seven Taxi,Cash,0.0
0.72,495,6.25,Medallion Leasin,Credit Card,48.0
0.55,378,5.5,Blue Ribbon Taxi Association,Cash,0.0
1.3,893,9.25,Medallion Leasin,Cash,0.0
0.8,549,6.75,Chicago Independents,Mobile,21.5
0.7,480,6.25,Taxi Affiliation Services,Cash,0.0
0.7,480,6.0,Taxi Affiliation Services,Cash,0.0
0.7,480,6.0,Choice Taxi Association,Cash,0.0
0.7,480,6.0,Taxi Affiliation Services,Unknown,0.0
1.5,1028,10.25,Flash Cab,Cash,0.0
0.6,411,5.75,City Service,Credit Card,34.8
0.53,363,5.25,Flash Cab,Prcard,0.0
5.12,3505,26.25,Sun Taxi,Cash,0.0
1.7,1163,11.5,Flash Cab,Credit Card,17.4
1.78,1213,9.0,Star North Taxi Management Llc,Mobile,17.2
1.53,1042,11.0,Flash Cab,Cash,0.0
5.19,3534,30.25,Flash Cab,Prcard,0.0
2.83,1927,17.25,City Service,Prcard,0.0
0.68,463,6.25,City Service,Cash,0.0
5.5,3744,30.25,Flash Cab,Prcard,0.0
0.98,667,7.5,Flash Cab,Cash,0.0
1.8,1225,9.0,Blue Ribbon Taxi Association,Mobile,33.3
1.43,973,9.75,Flash Cab,Cash,0.0
0.76,517,6.5,Flash Cab,Credit Card,61.5
1.5,1020,17.25,"Taxicab Insurance Agency, LLC",Cash,0.0
1.5,1020,10.5,U Taxicab,Cash,0.0
2.08,1414,13.0,City Service,Cash,0.0
1.22,828,9.0,Sun Taxi,Cash,0.0
0.65,441,6.25,24 Seven Taxi,Cash,0.0
1.76,1193,11.5,Sun Taxi,Cash,0.0
2.34,1584,14.75,Flash Cab,Cash,0.0
0.82,555,7.0,Sun Taxi,Credit Card,57.1
0.82,555,6.5,Flash Cab,Credit Card,53.3
1.41,954,9.75,Sun Taxi,Credit Card,71.8
0.55,372,5.5,Flash Cab,Cash,0.0
1.08,729,7.75,Sun Taxi,Credit Card,25.8
0.8,540,9.25,"Taxicab Insurance Agency, LLC",Cash,0.0
0.8,540,6.5,Taxi Affiliation Services,Credit Card,26.7
1.57,1059,10.0,City Service,Cash,0.0
0.8,539,6.75,Chicago Independents,Cash,0.0
2.66,1790,15.5,Flash Cab,Prcard,0.0
2.8,1884,16.25,Chicago Independents,Credit Card,20.6
0.89,598,7.0,Flash Cab,Credit Card,37.5
2.63,1766,15.25,Medallion Leasin,Cash,0.0
1.7,1140,10.5,Taxi Affiliation Services,Credit Card,21.0
0.71,475,6.25,Chicago Independents,Cash,0.0
0.54,361,5.5,Sun Taxi,Cash,0.0
0.58,387,5.5,Flash Cab,Cash,0.0
0.9,600,7.25,Taxi Affiliation Services,Cash,0.0
0.9,600,7.0,Taxi Affiliation Services,Cash,0.0
0.9,600,7.25,Choice Taxi Association,Credit Card,15.0
0.9,600,8.25,"Taxicab Insurance Agency, LLC",Credit Card,15.2
0.9,600,7.0,Taxi Affiliation Services,Cash,0.0
0.9,600,8.75,"Taxicab Insurance Agency, LLC",Credit Card,20.0
0.9,600,7.25,Blue Ribbon Taxi Association Inc.,Cash,0.0
0.9,600,7.5,Taxi Affiliation Services,Cash,0.0
0.83,553,7.25,City Service,Cash,0.0
1.76,1171,11.75,Flash Cab,Cash,0.0
0.96,638,7.25,Flash Cab,Credit Card,27.6
0.5,332,5.25,Sun Taxi,Cash,0.0
1.9,1260,11.75,"Taxicab Insurance Agency, LLC",Credit Card,21.3
0.51,338,5.5,Flash Cab,Cash,0.0
0.8,530,11.88,Flash Cab,Mobile,23.0
5.8,3840,30.25,Top Cab Affiliation,Unknown,0.0
0.73,483,6.25,Taxicab Insurance Agency Llc,Cash,0.0
0.8,529,6.5,Globe Taxi,Cash,0.0
1.23,813,8.75,Flash Cab,Credit Card,45.7
1.51,998,10.25,Globe Taxi,Cash,0.0
0.61,403,5.75,24 Seven Taxi,Credit Card,87.0
0.53,350,5.5,Flash Cab,Cash,0.0
2.04,1347,12.25,Flash Cab,Cash,0.0
3.0,1980,17.0,Choice Taxi Association,Cash,0.0
2.0,1320,11.75,"Taxicab Insurance Agency, LLC",Cash,0.0
2.0,1320,12.5,Top Cab Affiliation,Credit Card,0.0
0.79,521,6.5,Flash Cab,Prcard,0.0
0.68,448,9.0,Chicago Independents,Mobile,23.0
0.85,560,9.0,Blue Ribbon Taxi Association,Mobile,28.8
1.27,836,9.0,Flash Cab,Mobile,23.0
0.55,362,5.5,Globe Taxi,Credit Card,72.7
1.75,1151,12.25,Flash Cab,Cash,0.0
0.79,519,6.5,Flash Cab,Prcard,0.0
5.55,3646,30.25,Flash Cab,Prcard,0.0
2.53,1661,10.75,Globe Taxi,Mobile,23.0
1.8,1180,11.25,Flash Cab,Credit Card,26.0
0.91,596,7.0,Chicago Independents,Credit Card,22.2
0.84,550,6.75,Blue Ribbon Taxi Association,Credit Card,0.0
3.3,2160,17.5,U Taxicab,Credit Card,8.3
0.76,497,6.25,Chicago Independents,Credit Card,48.0
1.62,1059,9.0,City Service,Mobile,23.0
1.54,1006,9.75,Sun Taxi,Credit Card,20.5
1.01,659,7.5,Flash Cab,Cash,0.0
2.3,1500,13.25,Choice Taxi Association,Cash,0.0
1.17,763,8.25,Medallion Leasin,Credit Card,30.8
2.67,1741,10.92,Flash Cab,Mobile,9.2
1.71,1115,9.02,City Service,Mobile,22.8
1.5,977,10.25,Chicago Independents,Cash,0.0
5.43,3536,29.5,Flash Cab,Prcard,0.0
1.88,1224,11.0,Flash Cab,Cash,0.0
1.12,729,8.25,City Service,Cash,0.0
1.2,780,8.0,Taxi Affiliation Services,Cash,0.0
2.4,1560,13.75,Choice Taxi Association,Credit Card,25.8
1.2,780,8.5,Taxi Affiliation Services,Credit Card,15.8
2.5,1620,14.25,Taxi Affiliation Services,Credit Card,30.9
4.34,2811,24.5,Flash Cab,Prcard,0.0
1.5,971,9.5,Chicago Taxicab,Credit Card,28.6
1.63,1055,10.5,Sun Taxi,Cash,0.0
1.3,840,10.75,"Taxicab Insurance Agency, LLC",Credit Card,18.6
1.22,788,8.75,Medallion Leasin,Credit Card,114.3
2.7,1740,14.75,Choice Taxi Association,Cash,0.0
3.08,1983,16.5,City Service,Credit Card,20.6
0.9,578,7.0,Globe Taxi,Cash,0.0
0.64,411,6.0,Medallion Leasin,Cash,0.0
3.84,2465,21.0,Blue Ribbon Taxi Association,Cash,0.0
2.9,1860,15.25,Taxi Affiliation Services,Cash,0.0
1.24,794,8.5,Sun Taxi,Credit Card,30.0
1.1,704,7.75,Medallion Leasin,Cash,0.0
1.05,672,8.0,Sun Taxi,Cash,0.0
1.3,832,9.0,Chicago Taxicab,Cash,0.0
1.11,710,8.0,24 Seven Taxi,Cash,0.0
2.23,1426,11.12,Globe Taxi,Mobile,0.0
0.8,511,6.25,City Service,Cash,0.0
0.97,619,7.5,Blue Ribbon Taxi Association,Credit Card,40.0
1.95,1244,9.19,Sun Taxi,Mobile,23.0
0.58,370,5.75,Taxicab Insurance Agency Llc,Cash,0.0
0.82,523,6.75,Sun Taxi,Credit Card,48.5
1.6,1020,9.75,U Taxicab,Cash,0.0
0.84,535,6.5,Medallion Leasin,Credit Card,0.0
6.24,3973,32.75,Flash Cab,Prcard,0.0
5.63,3584,28.75,Flash Cab,Prcard,0.2
3.3,2100,17.75,Choice Taxi Association,Credit Card,30.7
0.55,350,5.5,Sun Taxi,Cash,0.0
1.24,789,8.5,Flash Cab,Cash,0.0
1.71,1088,11.0,Blue Ribbon Taxi Association,Credit Card,27.3
6.7,4260,33.25,Taxi Affiliation Services,Cash,0.0
0.98,623,7.25,Medallion Leasin,Cash,0.0
0.68,432,9.0,24 Seven Taxi,Mobile,23.0
1.7,1080,11.0,Top Cab Affiliation,Cash,0.0
0.87,552,7.0,Flash Cab,Credit Card,25.0
0.6,380,5.75,Chicago Independents,Credit Card,69.6
1.8,1140,10.75,Globe Taxi,Cash,0.0
1.04,658,7.5,Sun Taxi,Cash,0.0
1.45,917,9.0,Medallion Leasin,Mobile,11.6
6.07,3835,29.5,City Service,Prcard,0.0
1.26,796,9.0,City Service,Credit Card,33.3
1.9,1200,11.5,Taxi Affiliation Services,Credit Card,34.8
1.9,1200,11.25,Taxi Affiliation Services,Cash,0.0
1.19,751,8.75,Chicago Independents,Cash,0.0
0.87,549,7.0,City Service,Cash,0.0
2.71,1710,15.5,Flash Cab,Cash,0.0
0.91,574,7.0,Flash Cab,Credit Card,50.0
0.93,586,6.5,Chicago Independents,Cash,0.0
0.51,321,88.53,Flash Cab,Cash,0.0
0.58,364,5.5,Medallion Leasin,Credit Card,36.4
0.86,538,6.75,Flash Cab,Credit Card,29.6
0.55,344,5.5,Blue Ribbon Taxi Association,Cash,0.0
1.46,913,9.25,Flash Cab,Credit Card,21.6
1.62,1013,10.5,Sun Taxi,Prcard,0.0
0.53,331,5.25,Chicago Independents,Credit Card,142.9
1.52,949,9.75,Taxicab Insurance Agency Llc,Mobile,10.5
7.5,4680,36.5,Taxi Affiliation Services,Unknown,0.0
1.19,742,8.0,Taxicab Insurance Agency Llc,Credit Card,25.0
1.46,910,9.75,Flash Cab,Credit Card,30.8
0.87,542,6.75,Taxicab Insurance Agency Llc,Cash,0.0
3.62,2253,18.75,Taxicab Insurance Agency Llc,Credit Card,15.4
0.63,392,5.75,Sun Taxi,Cash,0.0
2.14,1331,12.5,City Service,Cash,0.0
0.64,398,5.5,City Service,Cash,0.0
5.86,3644,29.5,Flash Cab,Prcard,0.0
0.51,317,5.0,Flash Cab,Prcard,0.0
1.22,758,8.25,City Service,Cash,0.0
0.8,497,6.5,Flash Cab,Cash,0.0
0.53,329,5.5,Flash Cab,Credit Card,36.4
0.68,422,5.75,City Service,Cash,0.0
0.84,521,6.75,Taxicab Insurance Agency Llc,Cash,0.0
1.25,774,8.5,Blue Ribbon Taxi Association,Prcard,0.0
7.35,4551,38.75,Flash Cab,Prcard,0.0
0.53,328,5.25,24 Seven Taxi,Cash,0.0
0.8,495,6.25,Chicago Independents,Cash,0.0
1.07,662,7.75,Taxicab Insurance Agency Llc,Cash,0.0
0.93,575,9.0,Sun Taxi,Mobile,11.1
5.93,3666,29.0,Flash Cab,Cash,0.0
6.6,4080,36.0,Taxi Affiliation Services,Unknown,0.0
0.66,408,5.75,Sun Taxi,Cash,0.0
0.55,340,5.25,Flash Cab,Prcard,0.0
1.13,698,8.0,Flash Cab,Cash,0.0
0.65,401,5.75,City Service,Credit Card,34.8
0.89,549,7.0,Flash Cab,Credit Card,28.6
0.66,407,9.0,Medallion Leasin,Mobile,17.2
0.54,333,9.0,Chicago Independents,Mobile,55.6
5.63,3471,29.0,Flash Cab,Prcard,0.0
1.53,943,10.0,Flash Cab,Prcard,0.0
1.76,1084,10.75,Taxicab Insurance Agency Llc,Credit Card,37.2
0.82,505,6.5,Sun Taxi,Cash,0.0
0.64,394,5.75,City Service,Cash,0.0
1.4,861,9.25,Medallion Leasin,Cash,0.0
4.0,2460,20.75,Taxi Affiliation Services,Cash,0.0
6.06,3722,29.75,Flash Cab,Prcard,0.0
1.04,638,9.0,Sun Taxi,Mobile,23.0
1.0,613,6.75,Chicago Taxicab,Cash,0.0
5.01,3069,24.75,Chicago Independents,Credit Card,20.4
8.54,5219,45.25,Flash Cab,Prcard,0.0
1.61,983,10.0,Flash Cab,Prcard,0.0
0.87,531,6.75,Sun Taxi,Cash,0.0
0.62,378,5.75,Blue Ribbon Taxi Association,Credit Card,17.4
1.04,634,7.75,Flash Cab,Cash,0.0
1.19,725,8.25,Star North Taxi Management Llc,Credit Card,36.4
3.2,1946,18.25,Flash Cab,Cash,0.0
2.99,1818,12.52,Sun Taxi,Mobile,23.0
0.5,304,5.0,City Service,Cash,0.0
0.54,328,9.0,Taxicab Insurance Agency Llc,Mobile,0.0
0.7,425,5.75,Flash Cab,Cash,0.0
0.98,595,7.25,City Service,Credit Card,41.4
0.6,364,4.75,Medallion Leasin,Cash,0.0
1.36,825,9.0,Sun Taxi,Mobile,0.0
1.97,1195,9.0,Globe Taxi,Mobile,23.0
0.61,370,5.75,Blue Ribbon Taxi Association,Credit Card,59.3
